Year,Week,Position,Title,Artist,Spotify_title,Spotify_artist,Spotify_artist_id,Duration,Spotify_popularity,Album_name,Release_date,Genres
2021,22,20,Friday (Dopamine Re-Edit),"Riton, Nightcrawlers, Mufasa, Hypeman",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",7i9j813KFoSBMldGqlh2Z1 1gALaWbNDnwS2ECV09sn2A 4L2dV3zY7RmkeiNO035Fi0 3Edve4VIATi0OZngclQlkN,169153.0,81.0,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021-01-15,"dance pop, edm, house, pop dance, tropical house, uk dance, disco house, hip house, vocal house, edm, pop dance, tropical house, "
2021,22,21,Your Power,Billie Eilish,Your Power,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,245896.0,76.0,Happier Than Ever,2021-07-30,"art pop, electropop, pop"
2021,22,22,Blinding Lights,The Weeknd,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,200040.0,90.0,After Hours,2020-03-20,"canadian contemporary r&b, canadian pop, pop"
2021,22,23,Dynamite,BTS,Dynamite,BTS,3Nrfpe0tUJi4K4DXYWgMUX,199053.0,84.0,BE,2020-11-20,"k-pop, k-pop boy group"
2021,22,24,Heartbreak Anniversary,Givēon,Heartbreak Anniversary,Giveon,4fxd5Ee7UefO4CUXgwJ7IP,198370.0,83.0,TAKE TIME,2020-03-27,"pop, r&b"
2021,22,25,Telepatía,Kali Uchis,telepatía,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,160191.0,81.0,Sin Miedo (del Amor y Otros Demonios) ∞,2020-12-04,"colombian pop, pop"
2021,22,26,The Business,Tiësto,The Business,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,164000.0,81.0,The Business,2020-09-16,"big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house"
2021,22,27,Bandido,"Myke Towers, Juhn",Bandido,"Myke Towers, Juhn",7iK8PXO48WeuP03g8YR51W 2LmcxBak1alK1bf7d1beTr,232853.0,73.0,Bandido,2020-12-10,"reggaeton, trap latino, reggaeton, reggaeton flow, trap latino"
2021,22,28,2/Catorce,"Rauw Alejandro, Mr. Naisgai",2/Catorce,"Rauw Alejandro, Mr. Naisgai",1mcTU81TzQhprhouKaTkpq 37BIBvfliXJpSgn10yQUJM,205714.0,72.0,VICE VERSA,2021-12-10,"puerto rican pop, trap latino, "
2021,22,29,Botella tras botella,Gera MX + Christian Nodal,Botella Tras Botella,"Gera MX, Christian Nodal",2hejA1Dkf8v8R0koF44FvW 0XwVARXT135rw8lyw1EeWP,197333.0,35.0,And I was running far away,2021-05-14,"mexican hip hop, rap conciencia, mariachi, musica mexicana, nueva musica mexicana, ranchera"
2021,22,30,Runaway,Aurora,Runaway,AURORA,1WgXqy2Dd70QQOU7Ay074N,248826.0,74.0,All My Demons Greeting Me as a Friend (Deluxe),2014,"art pop, norwegian pop"
